id,name,slug,value,product_id
274,accessories-for-camcorder,accessories-for-camcorder,"User's manual *1, USB cable *1, Lithium batteries*1 , Lens cap *1, Camera lanyard *1, Camera bag*1，Lens cleaning cloth *1",28
275,image-resolution,image-resolution,48M(8000×6000); 24M(5600×4200); 12M(4000×3000); 8M(3648×2736); 5M(2592×1944); 3M(2048×1536),29
276,video-resolution,video-resolution,HD; FHD,29
277,front-image-sensor,front-image-sensor,0.3 megapixel CMOS sensor,29
278,rear-selfie-image-sensor,rear-selfie-image-sensor,13 megapixel CMOS sensor,29
279,display-screen,display-screen,2.4 inches 640*480 IPS high-definition,29
280,usb,usb,Type-C USB,29
281,expanded-memory-card,expanded-memory-card,"TF card slot (up to 128GB ), Support Support SDHC 6 level",29
282,battery-capacity,battery-capacity,1150mAh 3.7V Rechargeable Lithium Battery,29
283,language,language,"English, Simplified Chinese, Traditional Chinese, Japanese, Korean, Portuguese, French, German, Italian, Spanish, Russian, Hebrew, Turkish, Dutch, Polish",29
284,accessories-for-camcorder,accessories-for-camcorder,"A user manual, A USB cable, A lanyard, A mirror cloth, 4 rolls of printing paper",29
285,image-resolution,image-resolution,1M:1366*768 2M: 1920*1080 3M:2560×1440 5M: 3072*1728 8M:3840*2160 10M:4096*2394 12M:4608*2592,30
286,video-resolution,video-resolution,HD(1280*720) /FHD(1920*1080),30
287,print-head,print-head,"Low Voltage Thermal Printing； High definition, high precision printing（8PM/mm；fast printing(Print speed of up to 80mm / s)；low noise",30
288,print-paper-size,print-paper-size,length:25mm * width:56mm,30
289,usb,usb,Type-C,30
290,expanded-memory-card,expanded-memory-card,"TF Card slot (up to 128GB ),Support SDHC class 6 above",30
291,battery-capacity,battery-capacity,Built-in rechargeable lithium battery 1000mAh/7.4V,30
292,zoom,zoom,16X digital zoom,30
293,language,language,English/Deutsch/Français/Español/Italiano/Türkçe/Pусский/ภาษาไทย/Português/Nederlands/Simplified Chinese/Traditional Chinese/Japanese,30
294,accessories-for-camcorder,accessories-for-camcorder,"User manual*1, TYPE-C interface data cable*1, lanyard*1, thermal printing paper*4, Glasses Cloth*1",30
295,image-resolution,image-resolution,64MP；48MP；44MP；42MP；36MP；24MP；20MP；16MP；12MP；10MP；8MP；5MP,31
296,video-resolution,video-resolution,1080P 30FPS；720P 30FPS；480P 30FPS,31
297,image-sensor,image-sensor,5 megapixel CMOS sensor (up to 64MP interpolation),31
298,display-screen,display-screen,2.4 inches 320*240 IPS high-definition,31
299,usb,usb,Type-C USB,31
300,expanded-memory-card,expanded-memory-card,"TF card slot (4-256GB ), Support Support SDHC level 6",31
301,battery-capacity,battery-capacity,700mAh 3.7V Rechargeable Lithium Battery,31
302,zoom,zoom,16x digital zoom,31
303,language,language,"English, Traditional Chinese, Simplified Chinese, French, German, Italian, Portuguese, Spanish, Russian, Japanese, Dutch,",31
304,accessories-for-camcorder,accessories-for-camcorder,"User's Manual*1, USB Cable*1, Charger*1, Lithium Battery*1, Lanyard*1, Glasses Cloth*1, Camera Bag*1",31
305,image-resolution,image-resolution,48MP；44MP；42MP；36MP；24MP；20MP；16MP；12MP；10MP；8MP；5MP,32
306,video-resolution,video-resolution,1080P；720P；480P,32
307,image-sensor,image-sensor,5 megapixel CMOS sensor (up to 48MP interpolation),32
308,display-screen,display-screen,2.4-inch 320*240 IPS,32
309,usb,usb,Type-C USB,32
310,expanded-memory-card,expanded-memory-card,"TF Card slot (up to 64GB ),Support SDHC/SDXC class 10 U1",32
311,battery-capacity,battery-capacity,700mAh 3.7V Rechargeable Lithium battery,32
312,zoom,zoom,16X powerful zoom,32
313,language,language,"English,Español, Português, Français, Deutsch, Italiano,Nederlands,Traditional Chinese, Simplified Chinese, Japanese",32
314,accessories-for-camcorder,accessories-for-camcorder,"One User's manual,One USB cable,One Charger, One Lithium battery, One Camera lanyard",32
315,image-resolution,image-resolution,Front camera: 4654×2792，Rear selfie camera: 3650×2190，,33
316,video-resolution,video-resolution,1920×1080,33
317,front-image-sensor,front-image-sensor,13 megapixel CMOS sensor IMX135,33
318,rear-selfie-image-sensor,rear-selfie-image-sensor,8 megapixel CMOS sensor IMX219,33
319,display-screen,display-screen,3.6-inch 800×480 IPS HD touch display,33
320,usb,usb,Type-C USB,33
321,expanded-memory-card,expanded-memory-card,"MicroSD card slot (Maximum 32GB), supportSDXC C10 U1, FAT32",33
322,battery,battery,2000mAh 3.7V Rechargeable Lithium Battery,33
323,control-chip,control-chip,"MT6582V, ARM Cortex-A7 core architecture, 1.3GHz clock speed.",33
324,language,language,"Simplified Chinese, Traditional Chinese, Dutch, English, French, Filipino/Tagalog, German, Hebrew, Indonesian, Italian, Japanese, Korean, Polish, Portuguese, Romanian, Russian, Spanish, Thai, Turkish, Ukrainian, Vietnamese, etc.",33
325,accessories-for-camcorder,accessories-for-camcorder,"One User's manual,One USB cable,One charger, One Camera bag, One Cleaning Cloth, One Carrying Strap",33
326,image-resolution,image-resolution,"64M(9248×6936)；56M(8640×6480)
48M(8000×6000)；36M(6880×5160)
24M(5600×4200)；20M(5120×3840) 
16M(4640×3480)；12M(4032×3024)
8M(3264×2448)； 5M(2592×1944)",34
327,video-resolution,video-resolution,"5K(5120×2880)30FPS; 4K(3840×2160)30FPS;
2.7K(2688×1512)30FPS; 1080P(1920×1080)120FPS;
1080P(1920×1080)60FPS; 1080P(1920×1080)30FPS;
720P(1280×720)120FPS; 720P(1280×720)60FPS;
720P(1280×720)30FPS",34
328,front-image-sensor,front-image-sensor,8 megapixel CMOS sensor GC8613,34
329,rear-selfie-image-sensor,rear-selfie-image-sensor,13M image sensor IMX214,34
330,zoom,zoom,6X Optical Zoom,34
331,display-screen,display-screen,2.8 inch 640*480 IPS HD touch screen display,34
332,usb,usb,Type-C USB,34
333,expanded-memory-card,expanded-memory-card,TF Card slot (up to 256GB ),34
334,battery-capacity,battery-capacity,800mAh/3.7V Rechargeable Lithium Battery,34
335,language,language,"English,Simplified Chinese,Traditional Chinese,Japanese,Korean,French,German,
Italian,Spanish,Portuguese,Russian,Polish ,Vietnamese",34
336,accessories-for-camcorder,accessories-for-camcorder,"User's manual*1, USB-TYPE C cable*1, Lithium battery*1, Charger *1, Lanyard*1,
Glasses Cloth*1, Camera Bag*1",34
337,image-resolution,image-resolution,48M(8000×6000); 44M(7600×5800); 36M(7936×4480 HD); 24M(5600×4200); 20M(5200×3900); 16M(4608×3456); 12M(4000×3000); 10M(3648×2736); 7M-Wide(3648×2048 HD); 5M(2592×1944); 3M(2048×1536); 2M-Wide(1920×1080 HD),35
338,video-resolution,video-resolution,4K ULTRA HD -10FPS；2.7K-30FPS； FULL HD-30FPS；HD-30FPS； VGA-30FPS,35
339,front-image-sensor,front-image-sensor,13 megapixel CMOS sensor (up to 48MP interpolation),35
340,rear-selfie-image-sensor,rear-selfie-image-sensor,13 megapixel CMOS sensor (up to 48MP interpolation),35
341,display-screen,display-screen,2.8 inches 640*480 IPS high-definition,35
342,usb,usb,Type-C USB,35
343,expanded-memory-card,expanded-memory-card,"TF card slot (up to 256GB ), Support Support SDHC 6 level",35
344,battery-capacity,battery-capacity,700mAh 3.7V Rechargeable Lithium Battery,35
345,zoom,zoom,16x digital zoom,35
346,language,language,"English, Traditional Chinese, Simplified Chinese, French, German, Italian, Portuguese, Spanish, Russian, Japanese, Hebrew, Turkish, Dutch, Polish",35
347,accessories-for-camcorder,accessories-for-camcorder,"User's Manual*1, USB Cable*1, Charger*1, Lithium Battery*1, Lanyard*1, Glasses Cloth*1, Camera Bag*1",35
348,image-resolution,image-resolution,48M(8000×6000); 44M(7600×5800); 36M(7936×4480 HD); 24M(5600×4200); 20M(5200×3900); 16M(4608×3456); 12M(4000×3000); 10M(3648×2736); 7M-Wide(3648×2048 HD); 5M(2592×1944); 3M(2048×1536); 2M-Wide(1920×1080 HD),36
349,video-resolution,video-resolution,4K ULTRA HD -10FPS；2.7K-30FPS； FULL HD-30FPS；HD-30FPS；VGA-30FPS,36
350,front-image-sensor,front-image-sensor,13 megapixel CMOS sensor (up to 48MP interpolation),36
351,rear-selfie-image-sensor,rear-selfie-image-sensor,13 megapixel CMOS sensor (up to 48MP interpolation),36
352,display-screen,display-screen,2.8 inches 640*480 IPS high-definition,36
353,usb,usb,Type-C USB,36
354,expanded-memory-card,expanded-memory-card,TF Card slot (up to 256GB ),36
355,battery-capacity,battery-capacity,700mAh 3.7V Rechargeable Lithium Battery,36
356,zoom,zoom,16x digital zoom,36
357,language,language,"English, Traditional Chinese, Simplified Chinese, French, German, Italian, Portuguese, Spanish, Russian, Japanese, Hebrew, Turkish, Dutch, Polish",36
358,accessories-for-camcorder,accessories-for-camcorder,"User's Manual*1, USB Cable*1, Charger*1, Lithium Battery*1,Lanyard*1, Glasses Cloth*1, Camera Bag*1",36
359,image-resolution,image-resolution,56M(8640 × 6840);48M (8000 × 6000); 36M (6880 × 5160); 24M (5600 × 4200);20M (5120 × 3840);16M (4640 × 3480); 12M (4032 × 3024); 8M (3264 × 2448); 5M (2592 × 1944）,37
360,video-resolution,video-resolution,5K-30FPS;4K-30FPS; 2.7K-30FPS; 1080P-120FPS; 1080P-60FPS; 1080P-30FPS ;720P-120FPS; 720P-60FPS; 720P-30FPS,37
361,front-image-sensor,front-image-sensor,16 Mega pixels CMOS sensor（Up to 56MP interpolation）IMX206,37
362,rear-selfie-image-sensor,rear-selfie-image-sensor,12 Mega pixels CMOS sensor（Up to 56MP interpolation）IMX386,37
363,display-screen,display-screen,2.8 inch，640*480IPS HD display，IPS- LCD touch screen,37
364,usb,usb,Type-C USB,37
365,expanded-memory-card,expanded-memory-card,TF Card slot (up to 256GB ),37
366,battery-capacity,battery-capacity,800mAh Lithium battery,37
367,zoom,zoom,"10X Optical Zoom, Support optical zoom",37
368,language,language,"English,Simplified Chinese,Traditional Chinese,Japanese,Korean,French,German,Italian,Spanish,Portuguese,Russian,Polish ,Vietnamese",37
369,accessories-for-camcorder,accessories-for-camcorder,"User's manual*1,USB cable*1, Lithium battery*1, Camera lanyard*1,Camera Bag*1,",37
370,image-resolution,image-resolution,64M(9200×6900); 48M(8000×6000); 44M(7600×5800); 36M(7936×4480 HD); 24M(5600×4200); 20M(5200×3900); 16M(4608×3456); 12M(4000×3000); 10M(3648×2736); 7M-Wide(3648×2048 HD); 5M(2592×1944); 3M(2048×1536); 2M-Wide(1920×1080),38
371,video-resolution,video-resolution,4K(3840×2160)-10FPS; 2.7K(2688×1520)-30FPS; Full HD(1920×1080)-30FPS; HD(1280×720)-30FPS; VGA(640×480)-30FPS,38
372,image-sensor,image-sensor,8 megapixel CMOS sensor (up to 64MP interpolation),38
373,display-screen,display-screen,2.8 inches 640*480 IPS high-definition,38
374,usb,usb,Type-C USB,38
375,expanded-memory-card,expanded-memory-card,"TF card slot (up to 256GB ), Support SDHC Level 6",38
376,battery-capacity,battery-capacity,700mAh 3.7V Rechargeable Lithium Battery,38
377,zoom,zoom,16x digital zoom,38
378,language,language,"English, German, French, Spanish, Italian, Turkish, Russian, Portuguese, Dutch, Simplified Chinese, Traditional Chinese, Japanese, Polish, Hebrew",38
379,accessories-for-camcorder,accessories-for-camcorder,"User's Manual*1, USB Cable*1, Charger*1, Lithium Battery*1, Lanyard*1, Glasses Cloth*1, Camera Bag*1",38
380,image-resolution,image-resolution,64M(9200×6900); 48M(8000×6000); 44M(7600×5800); 36M(7936×4480); 24M(5600×4200); 20M(5200×3900); 16M(4608×3456); 12M(4000×3000); 10M(3648×2736); 7M-Wide(3648×2048 HD); 5M(2592×1944); 3M(2048×1536); 2M-Wide(1920×1080 HD),39
381,video-resolution,video-resolution,"""4K ULTRA HD -10FPS ；2.7K-30FPS ；FULL HD-30FPS ；HD-30FPS ；VGA-30FPS""",39
382,image-sensor,image-sensor,13 megapixel CMOS sensor (up to 64MP interpolation),39
383,display-screen,display-screen,3.0-inch IPS screen，16:9 screen,39
384,usb,usb,Type-C USB,39
385,expanded-memory-card,expanded-memory-card,TF Card slot (up to 256GB ),39
386,battery-capacity,battery-capacity,800mAh 3.7V Rechargeable lithium battery,39
387,zoom,zoom,Max 16x Digital Zoom,39
388,language,language,"""English , Deutsch , Français, Español , Italiano , Turkce , Pycский , Português , Nederlands ，Simplified Chinese , Traditional Chinese, Japanese ，Polski""",39
389,accessories-for-camcorder,accessories-for-camcorder,"""User's manual *1, USB cable *1, HD cable *1, Charger *1, Lithium batteries*1 , Lens cap *1, Camera lanyard *1, Camera bag*1，Lens cleaning cloth *1""",39
390,image-resolution,image-resolution,44M( 7600×5800 ); 36M(7936×4480 HD); 24M(5600×4200); 20M(5200×3900); 16M(4608×3456); 12M(4000×3000); 10M(3648×2736); 7M-Wide(3648×2048 HD); 5M(2592×1944); 3M(2048× 1536);2M-Wide（n/a）,40
391,video-resolution,video-resolution,2688×1520 2.7K; 1920×1080 FULL HD; 1280×720 HD; 640×480 VGA,40
392,image-sensor,image-sensor,8 megapixel CMOS sensor (up to 44MP interpolation),40
393,usb,usb,Type-C USB,40
394,expanded-memory-card,expanded-memory-card,TF Card slot (up to 128GB),40
395,battery-life,battery-life,"Taking Video≤ 90mins,taking photos≤ 150mins",40
396,zoom,zoom,16X digital zoom,40
397,language,language,"English,Français, Español, Português, Deutsch, Italiano,Simplified Chinese, Traditional Chinese, Simplified Chinese,Pycский, Japanese，Hebrew",40
398,accessories-for-camcorder,accessories-for-camcorder,"One User's manual,One USB cable,One Charger, One lithium battery, One Camera lanyard",40
399,image-resolution,image-resolution,44MP；42MP；36MP；24MP；20MP；16MP；12MP；10MP；8MP；5MP,41
400,video-resolution,video-resolution,1080P-30FPS；720P-30FPS；480P-30FPS,41
401,image-sensor,image-sensor,5 megapixel CMOS sensor (up to 44MP interpolation),41
402,display-screen,display-screen,"2.4-inch ,320*240 IPS",41
403,usb,usb,Type-C USB,41
404,expanded-memory-card,expanded-memory-card,TF Card slot (up to 64GB ),41
405,battery-capacity,battery-capacity,700mAh 3.7V Rechargeable Lithium battery,41
406,zoom,zoom,Max 16X Digital Zoom,41
407,language,language,"English,Español, Português, Français, Deutsch, Italiano,Nederlands,Traditional Chinese, Simplified Chinese, Japanese",41
408,accessories-for-camcorder,accessories-for-camcorder,"One User's manual,One USB cable,One Charger, One Lithium battery, One Camera lanyard",41
409,image-resolution,image-resolution,64M(9248×6936)；56M(8640×6480)；48M(8000×6000)；36M(6880×5160)；24M(5600×4200)；20M(5120×3840) ；16M(4640×3480)；12M(4032×3024)； 8M(3264×2448)； 5M(2592×1944),42
410,video-resolution,video-resolution,5K(5120×2880)30FPS；4K(3840×2160)30FPS；2.7K(2688×1512)30FPS；1080P(1920×1080)120FPS；1080P(1920×1080)60FPS; 1080P(1920×1080)30FPS；720P(1280×720)120FPS；720P(1280×720)60FPS；720P(1280×720)30FPS,42
411,front-image-sensor,front-image-sensor,16 megapixel CMOS sensor IMX206,42
412,rear-selfie-image-sensor,rear-selfie-image-sensor,12M image sensor,42
413,display-screen,display-screen,2.8 inch 640*480 IPS HD touch screen display,42
414,usb,usb,Type-C USB,42
415,expanded-memory-card,expanded-memory-card,TF Card slot (up to 256GB ),42
416,battery-capacity,battery-capacity,800mAh 3.7V Rechargeable lithium battery,42
417,zoom,zoom,5X Optical Zoom，2X Digital Zoom，Maximum 10X zoom,42
418,language,language,"English,Simplified Chinese,Traditional Chinese,Japanese,Korean,French,German,Italian,Spanish,Portuguese,Russian,Polish ,Vietnamese",42
419,accessories-for-camcorder,accessories-for-camcorder,"User's manual*1, USB-TYPE C cable*1, NP-80 Lithium battery*1, Charger *1, Lanyard*1,Glasses Cloth*1, Camera Bag*1",42
