id,name,slug,value,product_id
87,video-resolution,video-resolution,"8K15; 6K30; 5K30; 4K30; 2.7K30;
1080P120; 1080P60; 1080P30;
720P240; 720P120; 720P60; 720P30.",10
88,front-image-sensor,front-image-sensor,50 megapixel CMOS sensor IMX858,10
89,zoom,zoom,7X Optical Zoom,10
90,rear-selfie-image-sensor,rear-selfie-image-sensor,13M image sensor IMX214,10
91,display-screen,display-screen,2.8 inch 640*480 IPS HD touch screen display,10
92,usb,usb,Type-C USB,10
93,expanded-memory-card,expanded-memory-card,TF Card slot (up to 256GB ),10
94,battery-capacity,battery-capacity,1050mAh/3.7V Rechargeable Lithium Battery,10
95,language,language,"English,Simplified Chinese,Traditional Chinese,Japanese,Korean,French,German,
Italian,Spanish,Portuguese,Russian,Polish ,Vietnamese",10
96,accessories-for-camcorder,accessories-for-camcorder,"User's manual*1, USB-TYPE C cable*1, Lithium battery*1, Glasses Cloth*1, Lanyard*1,Camera Bag*1",10
97,image-resolution,image-resolution,"64M(9200×6900);(48M(8000×6000);44M( 7600×5800 );36M(7936×4480 HD); 24M(5600×4200);20M(5200×3900);16M(4608×3456);12M(4000×3000); 10M(3648×2736);7M-Wide(3648×2048 HD);5M(2592×1944);
3M(2048× 1536);2M-Wide(1920×1080 HD)",11
98,video-resolution,video-resolution,4K ULTRA HD -10FPS ；2.7K-30FPS ； FULL HD-30FPS ；HD-30FPS ； VGA-30FPS,11
99,front-image-sensor,front-image-sensor,13 megapixel CMOS sensor (up to 64MP interpolation),11
100,rear-selfie-image-sensor,rear-selfie-image-sensor,13 megapixel CMOS sensor (up to 64MP interpolation),11
101,display-screen,display-screen,2.8 inch 640*480 IPS HD screen display,11
102,usb,usb,Type-C USB,11
103,expanded-memory-card,expanded-memory-card,TF Card slot (up to 256GB ),11
104,battery-capacity,battery-capacity,1050mAh/3.7V Rechargeable Lithium Battery,11
105,language,language,"English,Traditional Chinese,Simplified Chinese,French,German,Italian,Portuguese,Spanish,Russian,Japanese,Hebrew,Turkish,Dutch,Polish",11
162,expanded-memory-card,expanded-memory-card,TF Card slot (up to 32GB ),17
106,accessories-for-camcorder,accessories-for-camcorder,"One User's manual,One USB cable,One Lithium battery, One Carrying Strap, One Cleaning Cloth",11
107,image-resolution,image-resolution,3M(2000*1500); 10M(3648*2736); 16M(4608*3456); 24M(5600*4200); 48M(8000*6000); 64M(9216*6912); 96M(11264*8448),12
108,video-resolution,video-resolution,1080P/30fps(1920*1080); 2K/30fps(2560*1440); 4K/30fps(3840*2160); 5K/20fps(5120*2880);,12
109,zoom,zoom,6X Optical Zoom,12
110,front-image-sensor,front-image-sensor,8 megapixel CMOS sensor GC8613,12
111,rear-selfie-image-sensor,rear-selfie-image-sensor,13M image sensor IMX214,12
112,display-screen,display-screen,2.8 inch 640*480 IPS HD screen display,12
113,usb,usb,Type-C USB,12
114,expanded-memory-card,expanded-memory-card,TF Card slot (up to 256GB ),12
115,battery-capacity,battery-capacity,1050mAh 3.7V Rechargeable lithium battery,12
116,language,language,"English, Simplified Chinese, Traditional Chinese, Japanese",12
117,accessories-for-camcorder,accessories-for-camcorder,"User's manual*1, USB-TYPE C cable*1, Charger *1, Camera Bag*1, , Glasses Cloth*1, Lanyard*1",12
