id,user_id,username,action,resource,result,ip,created_time
58,1,admin,product.update,product:25,SUCCESS,127.0.0.1,2026-07-22 09:51:00.633017+08
59,1,admin,product.update,product:26,SUCCESS,127.0.0.1,2026-07-22 09:51:00.64495+08
60,1,admin,product.update,product:27,SUCCESS,127.0.0.1,2026-07-22 09:51:00.653651+08
61,1,admin,product.update,product:28,SUCCESS,127.0.0.1,2026-07-22 09:51:00.658386+08
62,1,admin,product.update,product:30,SUCCESS,127.0.0.1,2026-07-22 09:51:00.660364+08
63,1,admin,product.update,product:29,SUCCESS,127.0.0.1,2026-07-22 09:51:00.661557+08
64,1,admin,product.update,product:31,SUCCESS,127.0.0.1,2026-07-22 09:51:00.664437+08
65,1,admin,product.update,product:32,SUCCESS,127.0.0.1,2026-07-22 09:51:00.672051+08
66,1,admin,product.update,product:33,SUCCESS,127.0.0.1,2026-07-22 09:51:00.675188+08
67,1,admin,product.update,product:34,SUCCESS,127.0.0.1,2026-07-22 09:51:00.682093+08
68,1,admin,product.update,product:35,SUCCESS,127.0.0.1,2026-07-22 09:51:00.694671+08
69,1,admin,product.update,product:36,SUCCESS,127.0.0.1,2026-07-22 09:51:00.696363+08
70,1,admin,product.update,product:37,SUCCESS,127.0.0.1,2026-07-22 09:51:00.698147+08
71,1,admin,product.update,product:38,SUCCESS,127.0.0.1,2026-07-22 09:51:00.700028+08
72,1,admin,product.update,product:39,SUCCESS,127.0.0.1,2026-07-22 09:51:00.702223+08
73,1,admin,product.update,product:40,SUCCESS,127.0.0.1,2026-07-22 09:51:00.705744+08
74,1,admin,product.update,product:41,SUCCESS,127.0.0.1,2026-07-22 09:51:00.714604+08
75,1,admin,product.update,product:42,SUCCESS,127.0.0.1,2026-07-22 09:51:00.715848+08
76,1,admin,product.update,product:3,SUCCESS,127.0.0.1,2026-07-22 09:55:13.261352+08
77,1,admin,product.update,product:5,SUCCESS,127.0.0.1,2026-07-22 09:55:13.262476+08
81,1,admin,product.update,product:9,SUCCESS,127.0.0.1,2026-07-22 09:55:13.288927+08
82,1,admin,product.update,product:10,SUCCESS,127.0.0.1,2026-07-22 09:55:13.300678+08
83,1,admin,product.update,product:11,SUCCESS,127.0.0.1,2026-07-22 09:55:13.311695+08
85,1,admin,product.update,product:12,SUCCESS,127.0.0.1,2026-07-22 09:55:13.313213+08
87,1,admin,product.update,product:14,SUCCESS,127.0.0.1,2026-07-22 09:55:13.334393+08
90,1,admin,product.update,product:17,SUCCESS,127.0.0.1,2026-07-22 09:55:13.340154+08
97,1,admin,product.update,product:22,SUCCESS,127.0.0.1,2026-07-22 09:55:13.444232+08
103,1,admin,product.update,product:27,SUCCESS,127.0.0.1,2026-07-22 09:55:13.47208+08
113,1,admin,product.update,product:38,SUCCESS,127.0.0.1,2026-07-22 09:55:13.522118+08
118,1,admin,product.update,product:19,SUCCESS,127.0.0.1,2026-07-22 09:55:39.617921+08
131,1,admin,product.update,product:1,SUCCESS,127.0.0.1,2026-07-22 10:11:21.71126+08
133,1,admin,product.update,product:1,SUCCESS,127.0.0.1,2026-07-22 10:11:42.352552+08
166,1,admin,product.update,product:33,SUCCESS,127.0.0.1,2026-07-22 10:14:16.421188+08
167,1,admin,product.update,product:34,SUCCESS,127.0.0.1,2026-07-22 10:14:16.422921+08
168,1,admin,product.update,product:35,SUCCESS,127.0.0.1,2026-07-22 10:14:16.426637+08
169,1,admin,product.update,product:36,SUCCESS,127.0.0.1,2026-07-22 10:14:16.428762+08
170,1,admin,product.update,product:37,SUCCESS,127.0.0.1,2026-07-22 10:14:16.430729+08
171,1,admin,product.update,product:38,SUCCESS,127.0.0.1,2026-07-22 10:14:16.436365+08
172,1,admin,product.update,product:39,SUCCESS,127.0.0.1,2026-07-22 10:14:16.44233+08
173,1,admin,product.update,product:40,SUCCESS,127.0.0.1,2026-07-22 10:14:16.450923+08
174,1,admin,product.update,product:41,SUCCESS,127.0.0.1,2026-07-22 10:14:16.451736+08
175,1,admin,product.update,product:42,SUCCESS,127.0.0.1,2026-07-22 10:14:16.451903+08
176,1,admin,product.update,product:1,SUCCESS,127.0.0.1,2026-07-22 10:14:38.901235+08
177,1,admin,product.update,product:2,SUCCESS,127.0.0.1,2026-07-22 10:14:38.922664+08
178,1,admin,product.update,product:9,SUCCESS,127.0.0.1,2026-07-22 10:14:38.926583+08
179,1,admin,product.update,product:4,SUCCESS,127.0.0.1,2026-07-22 10:14:38.927838+08
180,1,admin,product.update,product:3,SUCCESS,127.0.0.1,2026-07-22 10:14:38.928006+08
181,1,admin,product.update,product:5,SUCCESS,127.0.0.1,2026-07-22 10:14:38.933212+08
182,1,admin,product.update,product:6,SUCCESS,127.0.0.1,2026-07-22 10:14:38.93504+08
183,1,admin,product.update,product:7,SUCCESS,127.0.0.1,2026-07-22 10:14:38.944574+08
184,1,admin,product.update,product:8,SUCCESS,127.0.0.1,2026-07-22 10:14:38.945922+08
185,1,admin,product.update,product:10,SUCCESS,127.0.0.1,2026-07-22 10:14:38.960058+08
186,1,admin,product.update,product:11,SUCCESS,127.0.0.1,2026-07-22 10:14:38.961749+08
187,1,admin,product.update,product:12,SUCCESS,127.0.0.1,2026-07-22 10:14:38.970451+08
188,1,admin,product.update,product:13,SUCCESS,127.0.0.1,2026-07-22 10:14:38.972498+08
189,1,admin,product.update,product:14,SUCCESS,127.0.0.1,2026-07-22 10:14:38.979098+08
190,1,admin,product.update,product:15,SUCCESS,127.0.0.1,2026-07-22 10:14:38.981859+08
191,1,admin,product.update,product:16,SUCCESS,127.0.0.1,2026-07-22 10:14:38.996425+08
192,1,admin,product.update,product:17,SUCCESS,127.0.0.1,2026-07-22 10:14:38.99776+08
193,1,admin,product.update,product:18,SUCCESS,127.0.0.1,2026-07-22 10:14:39.001803+08
194,1,admin,product.update,product:19,SUCCESS,127.0.0.1,2026-07-22 10:14:39.005478+08
195,1,admin,product.update,product:20,SUCCESS,127.0.0.1,2026-07-22 10:14:39.007714+08
196,1,admin,product.update,product:21,SUCCESS,127.0.0.1,2026-07-22 10:14:39.009565+08
197,1,admin,product.update,product:22,SUCCESS,127.0.0.1,2026-07-22 10:14:39.018051+08
198,1,admin,product.update,product:23,SUCCESS,127.0.0.1,2026-07-22 10:14:39.026245+08
199,1,admin,product.update,product:24,SUCCESS,127.0.0.1,2026-07-22 10:14:39.038934+08
200,1,admin,product.update,product:26,SUCCESS,127.0.0.1,2026-07-22 10:14:39.047595+08
201,1,admin,product.update,product:27,SUCCESS,127.0.0.1,2026-07-22 10:14:39.048693+08
202,1,admin,product.update,product:25,SUCCESS,127.0.0.1,2026-07-22 10:14:39.049124+08
203,1,admin,product.update,product:28,SUCCESS,127.0.0.1,2026-07-22 10:14:39.051894+08
204,1,admin,product.update,product:29,SUCCESS,127.0.0.1,2026-07-22 10:14:39.058042+08
205,1,admin,product.update,product:30,SUCCESS,127.0.0.1,2026-07-22 10:14:39.062529+08
206,1,admin,product.update,product:31,SUCCESS,127.0.0.1,2026-07-22 10:14:39.069683+08
207,1,admin,product.update,product:32,SUCCESS,127.0.0.1,2026-07-22 10:14:39.087676+08
208,1,admin,product.update,product:33,SUCCESS,127.0.0.1,2026-07-22 10:14:39.089308+08
209,1,admin,product.update,product:34,SUCCESS,127.0.0.1,2026-07-22 10:14:39.091829+08
210,1,admin,product.update,product:35,SUCCESS,127.0.0.1,2026-07-22 10:14:39.093933+08
211,1,admin,product.update,product:36,SUCCESS,127.0.0.1,2026-07-22 10:14:39.096129+08
212,1,admin,product.update,product:37,SUCCESS,127.0.0.1,2026-07-22 10:14:39.101666+08
213,1,admin,product.update,product:38,SUCCESS,127.0.0.1,2026-07-22 10:14:39.107897+08
214,1,admin,product.update,product:39,SUCCESS,127.0.0.1,2026-07-22 10:14:39.113764+08
215,1,admin,product.update,product:40,SUCCESS,127.0.0.1,2026-07-22 10:14:39.120146+08
216,1,admin,product.update,product:41,SUCCESS,127.0.0.1,2026-07-22 10:14:39.122759+08
217,1,admin,product.update,product:42,SUCCESS,127.0.0.1,2026-07-22 10:14:39.123526+08
218,1,admin,product.update,product:7,SUCCESS,127.0.0.1,2026-07-22 10:14:53.990667+08
219,1,admin,product.update,product:19,SUCCESS,127.0.0.1,2026-07-22 10:14:53.991473+08
220,1,admin,product.update,product:18,SUCCESS,127.0.0.1,2026-07-22 10:14:53.991633+08
221,1,admin,product.update,product:2,SUCCESS,127.0.0.1,2026-07-22 10:29:51.709041+08
222,1,admin,product.update,product:1,SUCCESS,127.0.0.1,2026-07-22 10:29:51.71938+08
223,1,admin,product.update,product:3,SUCCESS,127.0.0.1,2026-07-22 10:29:51.721576+08
224,1,admin,product.update,product:6,SUCCESS,127.0.0.1,2026-07-22 10:29:51.721725+08
225,1,admin,product.update,product:4,SUCCESS,127.0.0.1,2026-07-22 10:29:51.723338+08
226,1,admin,product.update,product:5,SUCCESS,127.0.0.1,2026-07-22 10:29:51.723484+08
227,1,admin,product.update,product:7,SUCCESS,127.0.0.1,2026-07-22 10:29:51.730565+08
228,1,admin,product.update,product:8,SUCCESS,127.0.0.1,2026-07-22 10:29:51.738653+08
229,1,admin,product.update,product:9,SUCCESS,127.0.0.1,2026-07-22 10:29:51.762684+08
230,1,admin,product.update,product:10,SUCCESS,127.0.0.1,2026-07-22 10:29:51.764889+08
231,1,admin,product.update,product:12,SUCCESS,127.0.0.1,2026-07-22 10:29:51.766982+08
232,1,admin,product.update,product:11,SUCCESS,127.0.0.1,2026-07-22 10:29:51.768749+08
233,1,admin,product.update,product:13,SUCCESS,127.0.0.1,2026-07-22 10:29:51.774061+08
