created_time,updated_time,deleted,id,name,slug,sort_order
2026-07-20 08:39:41.118605+08,2026-07-20 08:39:41.118615+08,0,1,News,news,0
2026-07-20 08:57:42.157946+08,2026-07-20 08:57:42.157953+08,0,2,企业动态,company,0
2026-07-20 08:57:42.159361+08,2026-07-20 08:57:42.159378+08,0,3,行业资讯,industry,0
